composite_key,q_id,region,state,county,utility,developer,fuel_bucketed,mw_total,q_year,viability,confidence
915787_Southeast_SC_2023.0,915787,Southeast,SC,Florence,Duke Energy Progress,,Solar,65.0,2023.0,0.06890131,validated
GEN-2024-056_SPP_OK_2024.0,GEN-2024-056,SPP,OK,Noble,OGE,,Solar,120.0,2024.0,0.06890131,unvalidated
GEN-2024-058_SPP_OK_2024.0,GEN-2024-058,SPP,OK,Nowata,OGE,,Wind,200.0,2024.0,0.06890131,unvalidated
GEN-2024-043_SPP_NM_2024.0,GEN-2024-043,SPP,NM,Roosevelt,SPS,,Wind,250.0,2024.0,0.06890131,unvalidated
GEN-2024-023_SPP_NE_2024.0,GEN-2024-023,SPP,NE,Gage,NPPD,,Gas,270.0,2024.0,0.06890131,unvalidated
GI-DISIS-2022-04_West_CO_2022.0,GI-DISIS-2022-04,West,CO,Kit Carson,Tri-State Generation and Transmission Association,,Solar+Battery,237.0,2022.0,0.06890131,validated
J1520_MISO_IA_2020.0,J1520,MISO,IA,Worth,ITC MIDWEST,,Solar,135.0,2020.0,0.06890131,unvalidated
1327_CAISO_CA_2016.0,1327,CAISO,CA,Kern,SCE,,Solar+Battery,65.0,2016.0,0.06890131,unvalidated
GI-53_Southeast_MO_2016.0,GI-53,Southeast,MO,Nodaway,"Associated Electric Cooperative, Incorporated",,Wind,238.0,2016.0,0.06890131,validated
IA-PNM-2023-30_West_NM_2023.0,IA-PNM-2023-30,West,NM,Santa Fe,Public Service Company of New Mexico,,Solar+Battery,250.0,2023.0,0.06890131,validated
IA-PNM-2023-28_West_NM_2023.0,IA-PNM-2023-28,West,NM,Mckinley,Public Service Company of New Mexico,,Solar,84.24,2023.0,0.06890131,validated
C2-209_West_UT_2022.0,C2-209,West,UT,Uintah,PacifiCorp,"Revolve Vernal BESS, LLC",Battery,20.0,2022.0,0.06890131,validated
C2-205_West_UT_2022.0,C2-205,West,UT,Cache,PacifiCorp,,Solar+Battery,150.0,2022.0,0.06890131,validated
C2-204_West_WA_2022.0,C2-204,West,WA,Yakima,PacifiCorp,,Battery,100.0,2022.0,0.06890131,validated
882_NYISO_NY_2019.0,882,NYISO,NY,Jefferson,NM-NG,"Riverside Solar, LLC",Solar,100.0,2019.0,0.06890131,unvalidated
880_NYISO_NY_2019.0,880,NYISO,NY,Franklin,NYSEG,"Brookside Solar, LLC",Solar,100.0,2019.0,0.06890131,unvalidated
377_Southeast_MS_2019.0,377,Southeast,MS,Lowndes,Tennessee Valley Authority,,Solar,100.0,2019.0,0.06890131,validated
748_West_ID_2024.0,748,West,ID,Jerome,Idaho Power Company,,Battery,20.0,2024.0,0.06890131,validated
751_West_ID_2024.0,751,West,ID,Ada,Idaho Power Company,,Battery,20.0,2024.0,0.06890131,validated
J3818_MISO_IL_2024.0,J3818,MISO,IL,Shelby,AMEREN ILLINOIS,,Solar,40.0,2024.0,0.06890131,unvalidated
750_West_ID_2024.0,750,West,ID,Jerome,Idaho Power Company,,Battery,20.0,2024.0,0.06890131,validated
749_West_ID_2024.0,749,West,ID,Jerome,Idaho Power Company,,Battery,20.0,2024.0,0.06890131,validated
1323_CAISO_CA_2016.0,1323,CAISO,CA,Kern,SCE,,Solar+Battery,50.0,2016.0,0.06890131,unvalidated
1347_CAISO_NV_2016.0,1347,CAISO,NV,Clark,GLW,,Other_combined,405.0,2016.0,0.06890131,unvalidated
GEN-2023-188_SPP_OK_2023.0,GEN-2023-188,SPP,OK,Cotton,AEP,,Solar+Battery,160.0,2023.0,0.06890131,unvalidated
GEN-2023-193_SPP_TX_2023.0,GEN-2023-193,SPP,TX,Harrison,AEP,,Solar+Battery,175.0,2023.0,0.06890131,unvalidated
GEN-2023-230_SPP_LA_2023.0,GEN-2023-230,SPP,LA,Bossier Parish,AEP,,Solar+Battery,150.0,2023.0,0.06890131,unvalidated
AG2-545_PJM_IL_2021.0,AG2-545,PJM,IL,Mchenry,ComEd,,Battery,400.0,2021.0,0.06890131,validated
AG2-570_PJM_VA_2021.0,AG2-570,PJM,VA,Brunswick,Dominion,,Solar,400.0,2021.0,0.06890131,validated
J1734_MISO_IA_2020.0,J1734,MISO,IA,Lee,ITC MIDWEST,,Solar,150.0,2020.0,0.06890131,unvalidated
J1577_MISO_AR_2020.0,J1577,MISO,AR,Grant,ENTERGY ARKANSAS,,Solar,100.0,2020.0,0.06890131,unvalidated
J1575_MISO_MN_2020.0,J1575,MISO,MN,Marshall,OTTER TAIL POWER COMPANY,,Wind,70.0,2020.0,0.06890131,unvalidated
GEN-2024-064_SPP_MO_2024.0,GEN-2024-064,SPP,MO,Dade,EDE,,Solar+Battery,185.0,2024.0,0.06890131,unvalidated
GEN-2024-041_SPP_TX_2024.0,GEN-2024-041,SPP,TX,Floyd,SPS,,Wind,250.0,2024.0,0.06890131,unvalidated
GEN-2024-016_SPP_KS_2024.0,GEN-2024-016,SPP,KS,Smith,ITCGP,,Wind,300.0,2024.0,0.06890131,unvalidated
GEN-2024-036_SPP_NE_2024.0,GEN-2024-036,SPP,NE,Colfax,NPPD,,Wind,150.0,2024.0,0.06890131,unvalidated
GEN-2024-042_SPP_TX_2024.0,GEN-2024-042,SPP,TX,Floyd,SPS,,Wind,250.0,2024.0,0.06890131,unvalidated
GEN-2024-054_SPP_MO_2024.0,GEN-2024-054,SPP,MO,Cooper,WERE,,Solar,120.0,2024.0,0.06890131,unvalidated
GEN-2024-027_SPP_KS_2024.0,GEN-2024-027,SPP,KS,Reno,WERE,,Gas,717.8,2024.0,0.06890131,unvalidated
GEN-2024-035_SPP_SD_2024.0,GEN-2024-035,SPP,SD,Brown,BEPC,,Solar+Battery,270.0,2024.0,0.06890131,unvalidated
GEN-2024-024_SPP_OK_2024.0,GEN-2024-024,SPP,OK,Woodward,WFEC,,Solar,145.0,2024.0,0.06890131,unvalidated
LGE-GIS-2022-002_Southeast_VA_2022.0,LGE-GIS-2022-002,Southeast,VA,Wise,Louisville Gas & Electric and Kentucky Utilities Energy,,Solar,40.0,2022.0,0.06890131,validated
268_Southeast_SC_2024.0,268,Southeast,SC,Richland,Santee Cooper,,Solar,54.6,2024.0,0.06890131,validated
266_Southeast_SC_2024.0,266,Southeast,SC,Hampton,Santee Cooper,,Solar,100.0,2024.0,0.06890131,validated
270_Southeast_SC_2024.0,270,Southeast,SC,Williamsburg,Santee Cooper,,Solar,150.0,2024.0,0.06890131,validated
J1590_MISO_IA_2024.0,J1590,MISO,IA,Plymouth,MIDAMERICAN ENERGY CO.,,Wind,200.0,2024.0,0.06890131,unvalidated
274_Southeast_SC_2024.0,274,Southeast,SC,Darlington,Santee Cooper,,Solar,74.5,2024.0,0.06890131,validated
271_Southeast_SC_2024.0,271,Southeast,SC,Chesterfield,Santee Cooper,,Solar,50.0,2024.0,0.06890131,validated
281_Southeast_SC_2024.0,281,Southeast,SC,Aiken,Santee Cooper,,Solar,150.0,2024.0,0.06890131,validated
J3842_MISO_LA_2024.0,J3842,MISO,LA,Richland Parish,"ENTERGY MISSISSIPPI, LLC.",,Gas,770.0,2024.0,0.06890131,unvalidated
G0362_West_OR_2009.0,G0362,West,OR,Gilliam,Bonneville Power Administration,,Wind,204.0,2009.0,0.06890131,validated
09-034_West_OR_2009.0,09-034,West,OR,Jefferson,Portland General Electric,,Other,18.5,2009.0,0.06890131,validated
G0366_West_OR_2009.0,G0366,West,OR,Morrow,Bonneville Power Administration,,Wind,302.0,2009.0,0.06890131,validated
G0368_West_OR_2009.0,G0368,West,OR,Wasco,Bonneville Power Administration,,Solar,101.0,2009.0,0.06890131,validated
G0367_West_OR_2009.0,G0367,West,OR,Wasco,Bonneville Power Administration,,Solar,202.0,2009.0,0.06890131,validated
09-035_West_OR_2009.0,09-035,West,OR,Gilliam,Portland General Electric,,Wind,401.4,2009.0,0.06890131,validated
885_NYISO_NY_2019.0,885,NYISO,NY,Herkimer,NM-NG,SunEast Grassy Knoll Solar LLC,Solar,20.0,2019.0,0.06890131,unvalidated
GEN-2023-116_SPP_NE_2023.0,GEN-2023-116,SPP,NE,Keith,NPPD,,Wind,500.0,2023.0,0.06890131,unvalidated
GEN-2023-049_SPP_OK_2023.0,GEN-2023-049,SPP,OK,Mayes,GRDA,,Solar+Battery,150.0,2023.0,0.06890131,unvalidated
GEN-2023-211_SPP_OK_2023.0,GEN-2023-211,SPP,OK,Kay,OGE,,Other_combined,250.0,2023.0,0.06890131,unvalidated
GEN-2023-135_SPP_TX_2023.0,GEN-2023-135,SPP,TX,Bowie,AEP,,Solar,52.0,2023.0,0.06890131,unvalidated
IC-996_Southeast_GA_2021.0,IC-996,Southeast,GA,Charlton,Southern Company,,Solar+Battery,180.0,2021.0,0.06890131,validated
J2089_MISO_AR_2021.0,J2089,MISO,AR,Mississippi,ENTERGY ARKANSAS,,Solar,200.0,2021.0,0.06890131,unvalidated
GEN-2019-068_SPP_KS_2019.0,GEN-2019-068,SPP,KS,Barton,SUNC,,Battery,50.0,2019.0,0.06890131,unvalidated
863_NYISO_NY_2019.0,863,NYISO,NY,Livingston,RG&E,Highbanks Solar LLC,Solar,20.0,2019.0,0.06890131,unvalidated
GEN-2023-101_SPP_TX_2023.0,GEN-2023-101,SPP,TX,Wheeler,SPS,,Solar+Battery,150.0,2023.0,0.06890131,unvalidated
GI-TC-2024-17_West_CO_2024.0,GI-TC-2024-17,West,CO,Kit Carson,Tri-State Generation and Transmission Association,,Solar,225.0,2024.0,0.06890131,validated
